,#,Boardgame,Min. Players,Max. Players,Playing Time,Complexity (BGG),Language,Type,Categories,Mechanisms,
,1,A Game of Thrones (2003),3,5,180 Min,"3,45",,Strategy,"Bluffing, Fantasy, Negotiation, Novel-based, Political, Wargame","Area Movement, Auction / Bidding, Events, Hand Management, Memory, Order Counters, Player Elimination, Simultaneous Action Selection, Variable Player Powers",
,1,A War of Whispers (2019),2,4,30-60 Min,"2,56",English,Strategy,"Fantasy, Political, Spies / Secret Agents, Wargame","Area Majority / Influence, Betting and Bluffing, Hidden Victory Points, Take That, Worker Placement",
,1,Abalone (1987),2,2,30 Min,"2,15","Dutch, English","Two-Player, Abstract",Abstract Strategy,"Grid Movement, Hexagon Grid, Slide / Push, Static Capture",
,1,Abomination: The Heir of Frankenstein (2019),2,4,90-180 Min,"3,25",,Thematic,"Horror, Novel-based, Science Fiction","Dice Rolling, Events, Narrative Choice / Paragraph, Set Collection, Storytelling, Variable Player Powers, Worker Placement, Worker Placement, Different Worker Types",
,1,Acquire (1963),2,6,90 Min,"2,49",English,Strategy,"Economic, Territory Building","Connections, End Game Bonuses, Hand Management, Hidden Victory Points, Income, Investment, Market, Pattern Building, Square Grid, Stock Holding, Tile Placement, Victory Points as a Resource",
,1,Aeon's End (2016),1,4,60 Min,"2,8",,Strategy,"Card Game, Fantasy, Fighting, Science Fiction","Chit-Pull System, Cooperative Game, Deck, Bag, and Pool Building, Delayed Purchase, Hand Management, Open Drafting, Solo / Solitaire Game, Variable Phase Order, Variable Player Powers, Variable Set-up",
,1,After Us (2023),1,6,40-60 Min,"2,05",Dutch,Family,"Animals, Card Game, Puzzle, Science Fiction","Deck, Bag, and Pool Building, Melding and Splaying, Race, Simultaneous Action Selection",
,1,Agent Avenue (2024),2,4,10-20 Min,"1,26",Dutch,Family,"Animals, Bluffing, Card Game, Spies / Secret Agents","Hand Management, I Cut, You Choose, Race, Relative Movement, Set Collection, Track Movement",
,2,Agricola (2007),1,5,30-150 Min,"3,64",Dutch,Strategy,"Animals, Economic, Farming","Automatic Resource Growth, Closed Drafting, Enclosure, Increase Value of Unchosen Resources, Solo / Solitaire Game, Turn Order: Claim Action, Worker Placement",
,1,Agricola: All Creatures Big and Small (2012),2,2,30 Min,"2,35",Dutch,"Two-Player, Strategy","Animals, Farming","Automatic Resource Growth, Enclosure, Increase Value of Unchosen Resources, Tile Placement, Turn Order: Claim Action, Worker Placement",
,1,Ahoy (2022),2,4,45-75 Min,"2,89",,Strategy,"Fantasy, Nautical, Pirates","Area Majority / Influence, Dice Rolling, Modular Board, Pick-up and Deliver, Tile Placement, Variable Player Powers, Worker Placement with Dice Workers",
,1,Akropolis (2022),1,4,20-30 Min,"1,79",Dutch,Family,"Abstract Strategy, Ancient, City Building, Territory Building","Auction: Dutch, End Game Bonuses, Layering, Open Drafting, Pattern Building, Solo / Solitaire Game, Tile Placement, Turn Order: Progressive",
,1,Alles Op 1 Kaart (2021),2,4,20 Min,"1,38",Dutch,Family,"Card Game, Dice","Dice Rolling, Re-rolling and Locking",
,2,Andor: Jonge Helden (2020),2,4,30-45 Min,"1,92",Dutch,Children's,"Adventure, Fantasy, Fighting, Puzzle","Area Movement, Cooperative Game, Dice Rolling, Variable Player Powers",
,1,Applejack (2022),1,4,30-60 Min,2,"Dutch, French",Family,Farming,"Solo / Solitaire Game, Tile Placement",
,1,AQUA: Biodiversity in the Oceans (2024),1,4,30-45 Min,"2,12",Dutch,Family,"Nautical, Puzzle","End Game Bonuses, Open Drafting, Pattern Building, Tile Placement, Variable Set-Up",
,1,Aqualin (2020),2,2,20 Min,"1,52",Dutch,"Two-Player, Abstract",Abstract Strategy,"Grid Movement, Set Collection, Square Grid, Tile Placement",
,1,Arboretum (2015),2,4,30 Min,"2,11",,Family,"Card Game, Number","Connections, Hand Management, Move Through Deck, Open Drafting, Ordering, Pattern Building, Set Collection, Square Grid",
,2,Architecten van het Westelijk Koninkrijk (2018),1,5,60-80 Min,"2,76",Dutch,Strategy,"City Building, Economic, Medieval","Area Movement, Contracts, End Game Bonuses, Events, Kill Steal, Loans, Open Drafting, Solo / Solitaire Game, Static Capture, Tags, Take That, Track Movement, Variable Player Powers, Variable Set-up, Worker Placement",
,1,Architectura (2018),2,4,30-45 Min,"1,81",,Family,"Card Game, City Building","Area Majority / Influence, Hand Management, Tile Placement",
,1,Arcs (2024),2,4,60-120 Min,"3,43",,Strategy,"Science Fiction, Space Exploration, Wargame","Area Majority / Influence, Area Movement, Campaign / Battle Card Driven, Dice Rolling, Die Icon Resolution, Hand Management, Negotiation, Resource to Move, Trick-taking, Turn Order: Claim Action, Variable Player Powers",
,2,Ark Nova (2021),1,4,90-150 Min,"3,79",Dutch,Strategy,"Animals, Card Game, Environmental","Contracts, End Game Bonuses, Events, Grid Coverage, Hand Management, Hexagon Grid, Income, Increase Value of Unchosen Resources, Open Drafting, Race, Set Collection, Solo / Solitaire Game, Tags, Tile Placement, Track Movement, Variable Player Powers, Variable Set-up",
,1,Arkham Horror: The Card Game (2016),1,2,60-120 Min,"3,56",,"Two-Player, Thematic","Adventure, Card Game, Collectible Components, Exploration, Horror, Novel-based",,
,1,Ascension: Chronicle of the God Slayer (2010),1,4,30 Min,"2,14",English,Strategy,"Card Game, Fantasy","Deck, Bag, and Pool Building, Hand Management, Open Drafting",
,1,Ascension: Storm of Souls (2011),1,4,30 Min,"2,32",,Strategy,"Card Game, Fantasy","Deck, Bag, and Pool Building, Hand Management, Open Drafting",
,1,Atiwa (2022),1,4,30-120 Min,"2,75",Dutch,Strategy,"Animals, Economic, Educational, Environmental, Farming, Territory Building","Automatic Resource Growth, End Game Bonuses, Modular Board, Turn Order: Claim Action, Worker Placement",
,1,Authority (2023),5,12,45-60 Min,"2,5",,Party,"Bluffing, Civil War, Deduction, Modern Warfare, Party Game","Action Points, Deduction, Hidden Roles, Player Elimination",
,1,Avonturenland (2015),2,4,45 Min,"1,82",Dutch,Family,"Adventure, Fantasy, Fighting","Area Majority / Influence, Grid Movement, Variable Set-up",
,1,Axis & Allies: Pacific (2001),2,3,240 Min,"2,88",,Strategy,"Wargame, World War II","Area Majority / Influence, Area Movement, Dice Rolling, Team-Based Game",
,1,"Axis & Allies: Spring 1942, The World is at War! (2009)",2,5,240 Min,"3,15",English,Strategy,"Economic, Wargame, World War II","Area Majority / Influence, Area Movement, Dice Rolling, Income, Simulation, Team-Based Game",
,1,Azul (2017),2,4,30-45 Min,"1,77","Dutch, French",Family,"Abstract Strategy, Renaissance","Chaining, End Game Bonuses, Grid Coverage, Open Drafting, Pattern Building, Set Collection, Square Grid, Tile Placement, Turn Order: Claim Action",
,2,Azul Duel (2025),2,2,30-45 Min,"2,33","Dutch, French","Two-Player, Abstract","Abstract Strategy, Puzzle","End Game Bonuses, Layering, Open Drafting, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action",
,1,Azul: Queen's Garden (2021),2,4,45-60 Min,"2,93",German,Family,"Abstract Strategy, Puzzle, Renaissance","End Game Bonuses, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action",
,1,Babel (2000),2,2,45-60 Min,"2,41",Dutch,"Two-Player, Strategy","Ancient, Card Game, City Building","Hand Management, Layering, Matching, Multi-Use Cards, Pattern Recognition, Resource to Move, Set Collection, Sudden Death Ending, Take That",
,1,Bali (2017),2,4,45 Min,"2,13","Dutch, English",Family,"Card Game, Economic","Hand Management, Open Drafting, Stock Holding",
,1,Bananagrams (2006),1,8,15 Min,"1,29",,Family,"Real-Time, Word Game","Race, Real-Time, Spelling, Tile Placement",
,3,BANG! (2002),4,7,20-40 Min,"1,63",,Party,"American West, Bluffing, Card Game, Deduction, Fighting","Hand Management, Hidden Roles, Hot Potato, Kill Steal, Player Elimination, Take That, Team-Based Game, Variable Player Powers",
,1,Bang! Het Dobbelspel,3,8,15 Min,"1,28",Dutch,Party,"American West, Bluffing, Deduction, Dice, Fighting, Party Game","Dice Rolling, Hidden Roles, Player Elimination, Push Your Luck, Re-rolling and Locking, Team-Based Game, Variable Player Powers",
,1,Banjooli Cross (2013),2,5,30 Min,"1,15","Dutch, French",Family,"Bluffing, Dice, Racing","Dice Rolling, Modular Board, Roll / Spin and Move",
,1,Beacon Patrol (2023),1,4,30 Min,"1,43",,Family,"Exploration, Nautical","Cooperative Game, Grid Movement, Modular Board, Tile Placement",
,1,Beam Me Up! (2023),2,2,30 Min,2,"Dutch, English","Two-Player, Strategy","Abstract Strategy, Science Fiction","Area Majority / Influence, Area Movement, Set Collection",
,1,Bears vs Babies (2017),2,5,15-20 Min,"1,24",,Party,"Animals, Card Game, Comic Book / Strip, Humor","Action Points, Hand Management, Player Elimination, Set Collection, Take That",
,1,Berenpark (2017),2,4,30-45 Min,"1,66",Dutch,Family,"Animals, Puzzle","Grid Coverage, Modular Board, Open Drafting, Set Collection, Square Grid, Tile Placement",
,1,Betrayal at House on the Hill (2004),3,6,60 Min,"2,4",,Thematic,"Adventure, Exploration, Horror","Dice Rolling, Map Addition, Modular Board, Player Elimination, Role Playing, Storytelling, Team-Based Game, Traitor Game, Variable Player Powers",
,3,Bezzerwizzer (2007),2,12,45 Min,"1,52",,Party,"Party Game, Trivia","Betting and Bluffing, Simultaneous Action Selection",
,1,Bitoku (2021),1,4,120 Min,"3,77",Dutch,Strategy,"Fantasy, Mythology","Area Majority / Influence, Deck, Bag, and Pool Building, End Game Bonuses, Hand Management, Income, Set Collection, Solo / Solitaire Game, Turn Order: Claim Action, Worker Placement with Dice Workers",
,2,Black Stories (2004),2,99,20 Min,"1,26",Dutch,Party,"Card Game, Deduction, Horror, Murder / Mystery, Party Game",Storytelling,
,1,Black Stories: 5 over 12 Edition (2019),2,99,2-222 Min,1,Dutch,Party,"Card Game, Deduction, Horror, Murder / Mystery, Party Game",Storytelling,
,1,Blood Bound (2013),6,12,30 Min,"1,63",English,Party,"Bluffing, Deduction, Fantasy, Horror, Negotiation, Party Game","Role Playing, Team-Based Game, Variable Player Powers",
,1,Bohnanza (1997),2,7,45 Min,"1,67",,Family,"Card Game, Farming, Negotiation","Hand Management, Multi-Use Cards, Negotiation, Set Collection, Trading",
,1,Bokken Schieten (2007),3,6,15 Min,"1,22",Dutch,Family,"Animals, Card Game","Betting and Bluffing, Trick-Taking",
,1,Bomb Busters (2024),2,5,30 Min,2,Dutch,Family,"Deduction, Spies / Secret Agents","Communication Limits, Cooperative Game, Deduction, Memory, Once-Per-Game Abilities, Real-Time, Scenario / Mission / Campaign Game, Sudden Death Ending",
,1,"Boom, Bang, Gold (2017)",2,4,20 Min,"1,17",,Family,"Action / Dexterity, American West, Party Game, Real-time",Simultaneous Action Selection,
,1,Boomgaard (1986),2,8,10 Min,"1,03",Dutch,Children's,"Children's Game, Dice","Cooperative Game, Dice Rolling",
,1,Boona Nostra (2019),3,7,45 Min,2,,Family,"Card Game, Expansion for Base-Game, Farming","Hand Management, Set Collection, Trading",
,1,Boonanza: Het Dobbelspel (2012),2,5,45 Min,"1,31",Dutch,Family,"Dice, Farming","Contracts, Dice Rolling, Push Your Luck, Re-rolling and Locking, Set Collection",
,1,Bosbuit (2023),2,4,20-40 Min,"1,28",Dutch,Family,Animals,"Map Addition, Open Drafting, Pattern Building, Tags, Tile Placement",
,1,Boss Monster: The Dungeon Building Card Game (2013),2,4,30 Min,"1,85",English,Family,"Card Game, Fantasy, Video Game Theme","Hand Management, Player Elimination, Take That, Variable Player Powers",
,1,Botanicus (2024),2,4,45-60 Min,"2,41",,Family,"Economic, Environmental, Territory Building","Action Drafting, Grid Coverage, Grid Movement, Modular Board, Resource to Move, Set Collection, Tile Placement, Turn Order: Stat-Based, Variable Set-up",
,1,Brain Storm (2016),2,10,15 Min,1,,Party,"Card Game, Party Game, Real-Time, Word Game",,
,1,Brains Toverdrank (2018),1,1,5 Min,"1,3",,"Solo, Family",Puzzle,,
,1,Brass: Birmingham (2018),2,4,60-120 Min,"3,87",,Strategy,"Age of Reason, Economic, Industry / Manufacturing, Post-Napoleonic, Trains, Transportation","Chaining, End Game Bonuses, Hand Management, Income, Loans, Market, Multi-Use Cards, Network and Route Building, Ownership, Tags, Tech Trees / Tech Tracks, Tile Placement, Turn Order: Stat-Based, Variable Set-up",
,1,Brave Rats (2011),2,2,15 Min,"1,13",,"Two-Player, Family","Card Game, Fantasy","Rock-Paper-Scissors, Simultaneous Action Selection",
,2,Brieven uit Whitechapel (2011),2,6,90 Min,"2,64",Dutch,Strategy,"Bluffing, Deduction, Murder / Mystery, Post-Napoleonic","Hidden Movement, Memory, Point to Point Movement, Questions and Answers, Secret Unit Deployment, Team-Based Game",
,1,Brikks (2018),1,4,20-30 Min,"1,58",,Family,"Dice, Puzzle","Dice Rolling, Grid Coverage, Paper-and-Pencil, Pattern Building, Tile Placement",
,2,Brood & Bier (2022),2,2,30-45 Min,"2,36",Dutch,"Two-Player, Strategy","Card Game, Farming, Medieval","Closed Drafting, Contracts, End Game Bonuses, Hand Management, Highest-Lowest Scoring, Multi-Use Cards, Neighbor Scope, Turn Order: Stat-Based, Variable Player Powers",
,1,Bunny Kingdom (2017),2,4,40-60 Min,"2,3",,Family,"Animals, Medieval, Territory Building","Area Majority / Influence, Closed Drafting, End Game Bonuses, Grid Coverage, Hand Management, Simultaneous Action Selection, Square Grid",
,1,CABO (2010),2,5,30 Min,"1,42",,Family,Card Game,"Hand Management, Memory",
,1,Cacao (2015),2,4,45 Min,"1,82",Dutch,Family,"Economic, Farming, Territory Building","Area Majority/Influence, End Game Bonuses, Hand Management, Income, Layering, Map Addition, Open Drafting, Tile Placement",
,1,Café (2020),1,4,20-45 Min,"2,06",,Strategy,"Card Game, Economic, Farming, Industry / Manufacturing","Action Points, Contracts, Grid Coverage, Highest-Lowest Scoring, Layering, Melding and Splaying, Open Drafting, Pattern Building, Solo / Solitaire Game, Square Grid, Tile Placement",
,1,Cairn (2019),2,2,25 Min,"1,97","English, French","Two-Player, Abstract","Abstract Strategy, Fantasy, Miniatures, Prehistoric","Grid Movement, Tile Placement",
,1,Call of the Wild (2018),3,6,5-15 Min,2,,Family,"Action / Dexterity, Animals, Bluffing, Card Game, Children's Game, Fantasy, Humor, Negotiation, Party Game, Print & Play, Real-time","Deduction, Prisoner's Dilemma, Race, Real-Time, Rock-Paper-Scissors, Simultaneous Action Selection, Trading",
,2,Camel Up (2014),2,8,20-30 Min,"1,5",Dutch,Family,"Animals, Arabian, Dice, Racing","Betting and Bluffing, End Game Bonuses, Roll / Spin and Move, Track Movement, Variable Set-Up",
,1,Camel Up Cards (2016),2,6,30-60 Min,"1,73",,Family,Card Game,"Betting and Bluffing, Hand Management",
,1,Canopy (2021),1,4,30 Min,"2,02",English,Family,"Animals, Card Game, Environmental","Open Drafting, Push Your Luck, Set Collection, Solo / Solitaire Game",
,1,Captain Silver (2017),2,4,20 Min,"1,33",,Children's,"Children's Game, Pirates",,
,1,Captain Sonar (2016),2,8,45-60 Min,"2,2",,Party,"Deduction, Fighting, Modern, Warfare, Nautical, Real-time","Deduction, Grid Movement, Hidden Movement, Line Drawing, Real-Time, Role Playing, Secret Unit Deployment, Simulation, Team-Based Game",
,2,Carcassonne (2000),2,5,30-45 Min,"1,89",Dutch,Family,"Medieval, Territory Building","Area Majority / Influence, Enclosure, Kill Steal, Map Addition, Pattern Building, Square Grid, Tile Placement",
,1,Cards Against Humanity (2009),4,30,30 Min,"1,17",,Party,"Card Game, Humor, Mature / Adult, Party Game, Print & Play","Hand Management, Player Judge, Simultaneous Action Selection",
,1,Cards vs Gravity (2023),2,99,10 Min,1,,Party,Action / Dexterity,Tile Placement,
,1,Cartagena (2017),2,5,30-45 Min,"1,43",,Family,Pirates,"Action Points, Hand Management, Modular Board, Race, Track Movement",
,1,Cartographers (2019),1,100,30-45 Min,"1,89",,Family,"Fantasy, Territory","Bingo, Enclosure, End Game Bonuses, Grid Coverage, Paper-and-Pencil, Pattern Building, Simultaneous Action Selection, Solo / Solitaire Game, Square Grid, Take That, Variable Set-up",
,1,Cartographers Heroes (2021),1,100,30-45 Min,"1,97",Dutch,Family,"Fantasy, Territory Building","Bingo, End Game Bonuses, Grid Coverage, Line Drawing, Paper-and-Pencil, Simultaneous Action Selection, Solo / Solitaire Game, Square Grid, Take That, Variable Set-up",
,1,Cascadia (2021),1,4,30-45 Min,"1,84",English,Family,"Abstract Strategy, Animals, Environmental","End Game Bonuses, Hexagon Grid, Open Drafting, Pattern Building, Solo / Solitaire Game, Tile Placement, Variable Set-up",
,1,Cascadia Junior (2025),2,4,15-30 Min,"1,33",,Children's,"Animals, Children's Game, Environmental, Puzzle","Hexagon Grid, Open Drafting, Pattern Building, Tile Placement",
,1,Cascadia: Rolling Rivers (2024),1,4,15-30 Min,2,English,Family,"American West, Animals, Dice, Environmental, Puzzle, Territory Building","Contracts, Dice Rolling, End Game Bonuses, Hexagon Grid, Line Drawing, Market, Multiple Maps, Paper-and-Pencil, Set Collection, Solo / Solitaire Game, Variable Set-up",
,1,Castle Panic (2009),1,6,30-60 Min,"1,66",English,Family,"Fantasy, Fighting, Medieval","Campaign / Battle Card, Driven, Cooperative Game, Dice Rolling, Hand Management, Semi-Cooperative Game, Solo / Solitaire Game, Trading",
,1,Cat Stax (2024),1,1,5 Min,"1,1",,"Solo, Family",Puzzle,,
,1,Catan Junior (2014),2,4,30 Min,"1,33",Dutch,Children's,"Children's Game, Economic, Pirates","Dice Rolling, Trading",
,1,Catan: 5-6 Player Expansion (1996),5,6,120 Min,"2,31",Dutch,Family,"Expansion for Base-Game, Negotiation","Dice Rolling, Hand Management, Modular Board, Network and Route Building, Trading",
,1,Catan: Big Box (2016),3,6,75 Min,"2,1",,Family,"Civilization, Negotiation","Dice Rolling, Hand Management, Modular Board, Network and Route Building, Trading",
,1,Catan: Het Duel (2010),2,2,45-60 Min,"2,32",Dutch,"Two-Player, Strategy","Card Game, City Building, Medieval, Territory Building","Dice Rolling, Hand Management, Open Drafting, Race",
,1,Catan: Het Snelle Kaartspel,2,4,30 Min,"1,66",Dutch,Family,"Card Game, City Building","Hand Management, Trading",
,1,Caverna: Cave vs. Cave (2017),1,2,20-40 Min,"2,56",English,"Two-Player, Strategy","Economic, Fantasy, Farming","Tile Placement, Worker Placement",
,1,Caverna: The Cave Farmers (2013),1,7,30-210 Min,"3,77",,Strategy,"Animals, Economic, Fantasy, Farming","Automatic Resource Growth, Increase Value of Unchosen Resources, Solo / Solitaire Game, Tile Placement, Turn Order: Claim Action, Worker Placement",
,1,Celestia (2015),2,6,30 Min,"1,32",,Family,"Adventure, Aviation / Flight, Card Game, Fantasy","Betting and Bluffing, Dice Rolling, Hidden Victory Points, Push Your Luck",
,1,Celestia Duo (2025),2,2,30 Min,2,"Dutch, French","Two-Player, Family","Adventure, Card Game, Deduction, Dice, Memory, Puzzle","Communication Limits, Cooperative Game, Dice Rolling, Die Icon Resolution, Hand Management, Push Your Luck",
,1,Century: A New World (2019),2,4,30-45 Min,"2,11","Dutch, French",Family,Renaissance,"Action Retrieval, Contracts, Set Collection, Variable Set-Up, Worker Placement",
,1,Century: Eastern Wonders (2018),2,4,30-45 Min,"2,11","Dutch, French",Family,Nautical,"Contracts, Grid Movement, Modular Board, Pick-Up and Deliver, Point to Point Movement, Set Collection",
,1,Century: Spice Road (2017),2,5,30-45 Min,"1,8","Dutch, French",Family,"Card Game, Economic, Medieval","Action Retrieval, Auction: Dutch, Contracts, Deck, Bag, and Pool Building, End Game Bonuses, Hand Management, Increase Value of Unchosen, Resources, Open Drafting, Set Collection, Variable Set-up",
,1,Chili Dice (2018),1,4,30 Min,"1,11",,Family,Dice,"Dice Rolling, Push Your Luck",
,1,Chronicles of Crime (2018),1,4,60-90 Min,"2,06",,Thematic,"Adventure, Deduction, Murder / Mystery","Cooperative Game, Scenario / Mission / Campaign Game, Solo / Solitaire Game, Storytelling",
,1,Chronicles of Crime: 1900 (2021),1,4,60-90 Min,"1,93",Dutch,Thematic,"Adventure, Deduction, Murder / Mystery, Puzzle","Cooperative Game, Scenario / Mission / Campaign Game, Storytelling, Variable Player Powers",
,1,Citadels (2016),2,8,30-60 Min,"2,06",,Family,"Bluffing, Card Game, City Building, Medieval","Action Drafting, Closed Drafting, Income, Lose a Turn, Set Collection, Take That, Turn Order: Role Order, Variable Player Powers, Variable Set-up",
,1,Cities (2024),2,4,45 Min,"1,91",,Family,"Abstract Strategy, City Building","Closed Drafting, Contracts, Open Drafting, Pattern Building, Set Collection, Tile Placement, Turn Order: Claim Action, Variable Set-up, Worker Placement",
,1,Civolution (2024),1,4,90-180 Min,"4,22",,Strategy,"Civilization, Dice, Economic, Exploration, Science Fiction","Area Movement, Dice Rolling, Events, Income, Modular Board, Open Drafting, Pattern Building, Solo / Solitaire Game, Tech Trees / Tech Tracks, Track Movement, Variable Set-up",
,1,Claim (2017),2,2,25 Min,"1,65",,"Two-Player, Family","Card Game, Fantasy","Area Majority / Influence, Auction / Bidding, Auction: Once Around, Trick-taking",
,1,Claim Kingdoms (2018),2,4,30 Min,"1,67","Dutch, English",Family,"Card Game, Fantasy","Area Majority / Influence, Tile Placement",
,1,Clank! In! Space!: A Deck-Building Adventure (2017),2,4,45-90 Min,"2,58",English,Strategy,Science Fiction,"Deck, Bag, and Pool Building, Delayed Purchase, Modular Board, Open Drafting, Player Elimination, Point to Point Movement, Push Your Luck",
,1,Clank!: A Deck-Building Adventure (2016),2,4,30-60 Min,"2,23",English,Strategy,"Adventure, Fantasy","Action Points, Deck, Bag, and Pool Building, Delayed Purchase, End Game Bonuses, Movement Points, Open Drafting, Player Elimination, Point to Point, Movement, Push Your Luck, Variable Set-up",
,1,Clank!: Catacombs (2022),2,4,45-90 Min,"2,5",English,Strategy,"Adventure, Fantasy","Deck, Bag, and Pool Building, Delayed Purchase, End Game Bonuses, Map Addition, Map Deformation, Modular Board, Movement Points, Open Drafting, Player Elimination, Point to Point Movement, Push Your Luck, Tile Placement, Variable Set-up",
,3,Clever 4 Ever (2022),1,4,30 Min,"2,37",,Family,"Dice, Number","Dice Rolling, Paper-and-Pencil, Re-rolling and Locking, Solo / Solitaire Game",
,1,Clever Junior,2,4,15 Min,"1,08",,Children's,"Children's Game, Dice","Dice Rolling, Paper-and-Pencil",
,1,Click! The Great Wall (2022),2,4,30 Min,"1,83",,Family,"Action / Dexterity, Card Game","Action / Event, Action Drafting, Hand Management",
,1,Cluedo (Signature Collection) (2022),2,6,45 Min,"1,64",Dutch,Family,"Deduction, Movies / TV / Radio theme, Murder Mystery","Deduction, Grid Movement, Memory, Roll / Spin and Move, Square Grid",
,1,Cluedo Junior (2023),2,6,10-30 Min,"1,26",Dutch,Children's,"Deduction, Murder / Mystery","Cooperative Game, Deduction, Memory, Roll / Spin and Move",
,1,Cluedo: Het Kaartspel (2002),3,5,45 Min,"1,55",Dutch,Family,"Card Game, Deduction, Murder / Mystery",,
,1,Codenames EN (2015),2,8,15 Min,"1,26",English,Party,"Card Game, Deduction, Party Game, Spies / Secret Agents, Word Game","Communication Limits, Deduction, Memory, Race, Team-Based Game",
,1,Codenames NL (2015),2,8,15 Min,"1,26",Dutch,Party,"Card Game, Deduction, Party Game, Spies / Secret Agents, Word Game","Communication Limits, Deduction, Memory, Race, Team-Based Game",
,1,Codenames XXL (2015),2,8,15 Min,"1,26",Dutch,Party,"Card Game, Deduction, Party Game, Spies / Secret Agents, Word Game","Communication Limits, Deduction, Memory, Race, Team-Based Game",
,2,Codenames: Disney – Family Edition (2017),2,8,15 Min,"1,23",Dutch,Party,"Card Game, Deduction, Movies / TV / Radio theme, Party Game, Word Game","Communication Limits, Memory, Pattern Recognition, Push Your Luck, Team-Based Game",
,1,Codenames: Duet (2017),2,2,15-30 Min,"1,36",Dutch,"Two-Player, Family","Card Game, Deduction, Spies / Secret Agents, Word Game","Communication Limits, Cooperative Game, Memory",
,1,Codenames: Harry Potter (2018),2,2,15 Min,"1,61",English,"Two-Player, Family","Deduction, Movies / TV / Radio theme, Novel-based, Word Game","Communication Limits, Cooperative Game, Pattern Recognition, Push Your Luck",
,1,Codenames: Pictures (2016),2,8,15 Min,"1,24",,Party,"Card Game, Deduction, Party Game, Spies / Secret Agents","Communication Limits, Memory, Team-Based Game",
